spkr,alter,hate,work,love,sex,drink,food,negemo,swear,sympathy,negate,hedge,meta,ntri,like,imean,youknow,you,appr,agree,restart,interrupt,mimiccontentraw,mimicfunc,mimicswbdnorm,mimicswbdcontnorm,laughmimic,rate,ratecorrelation,initlaugh,midlaugh,totalwords,i,uh,um,question,totalturns
113,121,0,6,0,0,0,0,3,0,0,6,2,0,0,18,0,3,0,1,0,6,1,40,31,0.004057,0.004836,0,3.380779,0.136283,0,0,491,24,0,1,3,45
121,113,0,16,0,0,0,0,5,0,3,12,5,0,0,4,0,1,3,1,0,4,3,39,31,0.010179,0.012738,0,3.116631,-0.027933,1,5,453,15,2,3,20,46
114,121,0,1,0,0,0,0,1,0,0,2,7,0,0,2,1,1,0,0,0,2,0,32,21,0.002159,0.000965,2,2.644172,0.032289,2,6,249,12,0,0,7,44
121,114,0,6,2,0,0,0,1,0,0,5,4,0,0,3,1,1,0,6,1,4,0,34,26,0.005289,0.004547,3,3.213603,-0.239762,2,8,508,22,0,6,11,44
115,121,0,6,1,0,0,0,3,0,0,6,6,0,0,4,2,2,6,0,0,3,1,39,26,0.001850,0.000055,1,2.970987,-0.321399,1,2,407,26,0,0,12,49
121,115,0,10,1,0,0,0,4,0,0,8,3,0,0,1,0,1,3,1,3,4,0,45,31,0.012903,0.015525,2,2.627637,-0.203758,7,6,406,17,0,3,11,49
116,121,0,3,0,0,0,0,3,0,0,8,8,0,0,19,1,0,2,0,0,5,4,34,26,0.015324,0.000413,0,2.862686,-0.149487,0,0,351,15,0,2,8,43
121,116,0,6,0,0,0,0,2,0,0,5,8,0,0,2,0,0,6,1,1,3,2,39,32,0.012922,0.012997,0,2.854493,-0.200672,5,2,402,20,1,4,14,44
117,121,0,2,0,0,5,1,4,0,0,9,6,0,0,21,0,5,6,0,0,3,3,49,34,0.024351,0.020695,1,3.206961,0.028302,1,3,634,30,1,1,6,45
121,117,0,6,0,0,1,1,6,1,6,8,4,0,0,2,0,0,10,4,1,3,6,37,34,0.009031,0.000003,1,2.621092,-0.060744,1,7,336,9,2,2,6,45
118,121,0,3,0,0,0,0,2,0,0,8,5,0,0,21,2,0,2,0,0,3,1,61,48,0.004249,0.004065,0,2.917963,-0.056066,2,1,410,28,0,0,5,43
121,118,0,1,0,0,0,0,7,0,0,8,1,1,0,4,0,0,5,3,0,6,2,39,32,0.003586,0.004494,2,2.937267,-0.117628,3,5,453,29,2,1,13,43
101,123,0,5,0,0,0,0,1,0,0,8,3,0,0,1,3,2,10,0,0,5,1,38,25,0.015484,0.018585,0,3.668408,0.078612,0,0,267,15,5,2,9,28
123,101,0,7,0,0,0,0,8,0,0,11,5,2,0,9,2,4,1,1,0,6,0,35,28,0.003917,0.005957,0,3.705601,-0.013495,1,0,493,26,0,2,18,29
102,123,0,10,0,0,0,0,5,0,0,8,10,0,0,1,0,1,14,0,0,8,1,50,34,0.483950,0.843473,0,3.441310,-0.225926,2,2,391,14,3,1,6,28
123,102,0,4,1,0,0,0,8,0,0,4,0,0,0,3,0,4,1,0,0,4,0,44,28,0.007270,0.008094,1,3.660467,0.024978,1,1,264,18,1,0,12,29
103,123,0,2,0,0,0,0,3,0,0,3,4,0,0,3,0,4,4,1,0,2,2,45,31,0.012322,0.020812,1,4.218132,-0.123319,0,2,338,7,2,1,11,45
123,103,0,12,0,0,1,0,5,0,1,9,5,0,0,14,2,7,10,1,1,5,1,41,34,0.001400,0.000163,1,3.848587,-0.059332,0,2,539,36,1,1,13,45
104,123,0,3,0,0,1,1,2,1,0,3,1,0,0,8,0,0,3,0,0,0,1,22,16,0.001614,0.000991,0,3.712895,-0.020468,0,1,250,10,0,1,9,48
123,104,0,4,2,0,0,3,5,1,0,11,1,1,0,9,1,3,8,0,0,8,1,32,22,0.014627,0.001132,1,3.430672,0.303032,1,0,546,30,2,1,11,48
105,123,0,1,1,0,2,3,2,0,0,8,6,0,0,16,0,1,5,1,0,13,2,44,37,0.003373,0.002805,1,3.041396,0.102286,2,4,518,23,5,3,4,29
123,105,0,0,0,0,1,0,1,0,1,6,3,0,0,7,2,1,3,0,0,4,1,44,34,0.005858,0.017400,0,3.924660,0.560729,1,2,320,25,0,0,10,29
106,123,0,1,0,0,1,1,0,0,0,8,13,0,0,8,0,1,3,0,0,4,5,30,22,0.002595,0.000167,0,3.165743,-0.094301,0,4,373,25,2,0,8,50
123,106,0,0,1,0,3,1,1,1,0,12,2,4,1,8,4,2,4,1,1,4,2,28,16,0.121750,0.143209,1,3.834995,-0.097689,0,2,386,21,1,0,17,50
107,123,0,20,1,0,0,0,0,0,0,4,6,0,0,6,0,0,2,1,1,6,1,30,17,0.001098,0.001537,0,3.115260,0.171838,0,0,385,11,0,0,3,33
123,107,0,5,0,0,1,0,2,0,0,8,7,0,1,7,4,2,1,1,0,7,0,54,41,0.142333,0.160053,0,3.340207,0.222358,0,0,478,18,0,1,11,32
108,123,0,3,0,0,0,0,2,0,0,12,6,0,0,23,0,0,10,1,0,10,2,54,46,0.000975,0.000110,0,2.900834,-0.197034,0,1,497,16,3,0,9,38
123,108,0,7,0,0,0,0,1,0,0,3,5,0,0,6,0,2,5,2,0,3,0,48,37,0.009672,0.002555,0,3.607664,-0.013414,0,1,314,14,0,0,21,39
109,123,0,5,0,0,0,0,3,0,0,4,4,0,0,2,0,1,5,0,0,4,2,55,29,0.010581,0.001861,0,3.574564,0.211813,1,1,364,13,7,0,11,28
123,109,0,7,0,0,0,0,2,0,0,11,5,0,1,2,3,2,3,0,0,7,1,55,33,0.003697,0.002825,0,3.863412,-0.226257,0,1,336,20,0,2,8,29
110,123,0,1,1,0,6,0,2,0,0,9,3,2,1,19,1,2,4,1,0,14,2,44,28,0.014533,0.005375,0,2.159222,-0.095986,2,6,487,22,6,4,5,52
123,110,0,0,0,0,7,0,4,1,0,3,6,0,0,13,1,2,3,0,0,7,1,48,36,0.013494,0.005592,1,2.687456,-0.131979,1,0,428,14,2,2,14,51
111,123,0,4,0,0,2,0,7,0,0,11,7,1,0,31,1,12,5,3,0,4,1,57,37,0.060326,0.009782,0,3.641430,0.264392,1,1,459,25,3,1,11,41
123,111,1,0,0,0,2,0,10,1,2,15,1,2,1,13,5,3,5,0,1,2,1,80,58,0.098430,0.027148,0,4.661775,0.074593,0,3,417,19,0,1,14,42
112,123,0,5,0,0,0,1,1,0,0,4,2,1,0,5,1,7,4,1,1,3,0,37,29,0.004379,0.000719,0,3.145248,0.086847,0,0,298,14,0,0,8,38
123,112,0,4,0,0,0,1,3,0,0,5,3,1,1,3,1,0,4,0,0,4,0,57,43,0.012121,0.013452,0,4.076203,0.192410,0,1,361,23,0,3,15,38
113,123,0,5,0,0,0,0,1,0,1,4,5,0,0,14,0,2,6,0,0,0,3,33,22,0.004935,0.005179,0,5.313713,-0.134904,0,1,289,10,0,0,9,34
123,113,0,13,0,0,0,0,9,1,0,6,2,0,1,5,8,2,9,0,1,4,1,47,36,0.005538,0.005988,1,3.849055,0.114581,1,0,468,14,2,1,9,35
